Number_of_Neighbours	Number_of_PCs	Number_of_Cells	Number_of_HVGs	Algorithm.Leiden	Algorithm.Louvain	Algorithm.Walktrap	Exp_Type.Droplet	acceptable_ari
43	30	3909	500	0	0	1	1	1
44	30	3909	500	0	0	1	1	1
45	30	3909	500	0	0	1	1	1
46	30	3909	500	0	0	1	1	1
47	30	3909	500	0	0	1	1	0
48	30	3909	500	0	0	1	1	1
49	30	3909	500	0	0	1	1	1
50	30	3909	500	0	0	1	1	1
1	6	1845	500	0	0	1	1	0
2	6	1845	500	0	0	1	1	0
3	6	1845	500	0	0	1	1	0
4	6	1845	500	0	0	1	1	0
5	6	1845	500	0	0	1	1	0
6	6	1845	500	0	0	1	1	0
7	6	1845	500	0	0	1	1	0
8	6	1845	500	0	0	1	1	0
9	6	1845	500	0	0	1	1	0
10	6	1845	500	0	0	1	1	0
11	6	1845	500	0	0	1	1	0
12	6	1845	500	0	0	1	1	0
13	6	1845	500	0	0	1	1	0
14	6	1845	500	0	0	1	1	0
15	6	1845	500	0	0	1	1	0
16	6	1845	500	0	0	1	1	0
17	6	1845	500	0	0	1	1	0
18	6	1845	500	0	0	1	1	0
19	6	1845	500	0	0	1	1	0
20	6	1845	500	0	0	1	1	0
21	6	1845	500	0	0	1	1	0
22	6	1845	500	0	0	1	1	0
23	6	1845	500	0	0	1	1	0
24	6	1845	500	0	0	1	1	0
25	6	1845	500	0	0	1	1	0
26	6	1845	500	0	0	1	1	0
27	6	1845	500	0	0	1	1	0
28	6	1845	500	0	0	1	1	0
29	6	1845	500	0	0	1	1	0
30	6	1845	500	0	0	1	1	0
31	6	1845	500	0	0	1	1	0
32	6	1845	500	0	0	1	1	0
33	6	1845	500	0	0	1	1	0
34	6	1845	500	0	0	1	1	0
35	6	1845	500	0	0	1	1	0
36	6	1845	500	0	0	1	1	0
37	6	1845	500	0	0	1	1	0
38	6	1845	500	0	0	1	1	0
39	6	1845	500	0	0	1	1	0
40	6	1845	500	0	0	1	1	0
41	6	1845	500	0	0	1	1	0
42	6	1845	500	0	0	1	1	0
43	6	1845	500	0	0	1	1	0
44	6	1845	500	0	0	1	1	0
45	6	1845	500	0	0	1	1	0
46	6	1845	500	0	0	1	1	0
47	6	1845	500	0	0	1	1	0
48	6	1845	500	0	0	1	1	0
49	6	1845	500	0	0	1	1	0
50	6	1845	500	0	0	1	1	0
1	10	5404	500	0	0	1	1	0
2	10	5404	500	0	0	1	1	0
3	10	5404	500	0	0	1	1	0
4	10	5404	500	0	0	1	1	0
5	10	5404	500	0	0	1	1	0
6	10	5404	500	0	0	1	1	0
7	10	5404	500	0	0	1	1	0
8	10	5404	500	0	0	1	1	0
9	10	5404	500	0	0	1	1	0
10	10	5404	500	0	0	1	1	0
11	10	5404	500	0	0	1	1	0
12	10	5404	500	0	0	1	1	0
13	10	5404	500	0	0	1	1	0
14	10	5404	500	0	0	1	1	0
15	10	5404	500	0	0	1	1	0
16	10	5404	500	0	0	1	1	0
17	10	5404	500	0	0	1	1	0
18	10	5404	500	0	0	1	1	0
19	10	5404	500	0	0	1	1	0
20	10	5404	500	0	0	1	1	0
21	10	5404	500	0	0	1	1	0
22	10	5404	500	0	0	1	1	0
23	10	5404	500	0	0	1	1	0
24	10	5404	500	0	0	1	1	0
25	10	5404	500	0	0	1	1	0
26	10	5404	500	0	0	1	1	0
27	10	5404	500	0	0	1	1	0
28	10	5404	500	0	0	1	1	0
29	10	5404	500	0	0	1	1	0
30	10	5404	500	0	0	1	1	0
31	10	5404	500	0	0	1	1	0
32	10	5404	500	0	0	1	1	0
33	10	5404	500	0	0	1	1	0
34	10	5404	500	0	0	1	1	0
35	10	5404	500	0	0	1	1	0
36	10	5404	500	0	0	1	1	0
37	10	5404	500	0	0	1	1	0
38	10	5404	500	0	0	1	1	0
39	10	5404	500	0	0	1	1	0
40	10	5404	500	0	0	1	1	0
41	10	5404	500	0	0	1	1	0
42	10	5404	500	0	0	1	1	0
43	10	5404	500	0	0	1	1	0
44	10	5404	500	0	0	1	1	0
45	10	5404	500	0	0	1	1	0
46	10	5404	500	0	0	1	1	0
47	10	5404	500	0	0	1	1	0
48	10	5404	500	0	0	1	1	0
49	10	5404	500	0	0	1	1	0
50	10	5404	500	0	0	1	1	0
1	16	4481	500	0	0	1	1	0
2	16	4481	500	0	0	1	1	0
3	16	4481	500	0	0	1	1	0
4	16	4481	500	0	0	1	1	0
5	16	4481	500	0	0	1	1	0
6	16	4481	500	0	0	1	1	0
7	16	4481	500	0	0	1	1	0
8	16	4481	500	0	0	1	1	0
9	16	4481	500	0	0	1	1	0
10	16	4481	500	0	0	1	1	0
11	16	4481	500	0	0	1	1	0
12	16	4481	500	0	0	1	1	0
13	16	4481	500	0	0	1	1	0
14	16	4481	500	0	0	1	1	0
15	16	4481	500	0	0	1	1	0
16	16	4481	500	0	0	1	1	0
17	16	4481	500	0	0	1	1	0
18	16	4481	500	0	0	1	1	0
19	16	4481	500	0	0	1	1	0
20	16	4481	500	0	0	1	1	0
21	16	4481	500	0	0	1	1	0
22	16	4481	500	0	0	1	1	0
23	16	4481	500	0	0	1	1	0
24	16	4481	500	0	0	1	1	0
25	16	4481	500	0	0	1	1	0
26	16	4481	500	0	0	1	1	0
27	16	4481	500	0	0	1	1	0
28	16	4481	500	0	0	1	1	0
29	16	4481	500	0	0	1	1	0
30	16	4481	500	0	0	1	1	0
31	16	4481	500	0	0	1	1	0
32	16	4481	500	0	0	1	1	0
33	16	4481	500	0	0	1	1	0
34	16	4481	500	0	0	1	1	0
35	16	4481	500	0	0	1	1	0
36	16	4481	500	0	0	1	1	0
37	16	4481	500	0	0	1	1	0
38	16	4481	500	0	0	1	1	0
39	16	4481	500	0	0	1	1	0
40	16	4481	500	0	0	1	1	0
41	16	4481	500	0	0	1	1	0
42	16	4481	500	0	0	1	1	0
43	16	4481	500	0	0	1	1	0
44	16	4481	500	0	0	1	1	0
45	16	4481	500	0	0	1	1	0
46	16	4481	500	0	0	1	1	0
47	16	4481	500	0	0	1	1	0
48	16	4481	500	0	0	1	1	0
49	16	4481	500	0	0	1	1	0
50	16	4481	500	0	0	1	1	0
1	9	3652	500	0	0	1	1	0
2	9	3652	500	0	0	1	1	0
3	9	3652	500	0	0	1	1	0
4	9	3652	500	0	0	1	1	0
5	9	3652	500	0	0	1	1	0
6	9	3652	500	0	0	1	1	0
7	9	3652	500	0	0	1	1	0
8	9	3652	500	0	0	1	1	0
9	9	3652	500	0	0	1	1	0
10	9	3652	500	0	0	1	1	0
11	9	3652	500	0	0	1	1	0
12	9	3652	500	0	0	1	1	0
13	9	3652	500	0	0	1	1	0
14	9	3652	500	0	0	1	1	0
15	9	3652	500	0	0	1	1	0
16	9	3652	500	0	0	1	1	0
17	9	3652	500	0	0	1	1	0
18	9	3652	500	0	0	1	1	0
19	9	3652	500	0	0	1	1	0
20	9	3652	500	0	0	1	1	0
21	9	3652	500	0	0	1	1	0
22	9	3652	500	0	0	1	1	0
23	9	3652	500	0	0	1	1	0
24	9	3652	500	0	0	1	1	0
25	9	3652	500	0	0	1	1	0
26	9	3652	500	0	0	1	1	0
27	9	3652	500	0	0	1	1	0
28	9	3652	500	0	0	1	1	0
29	9	3652	500	0	0	1	1	0
30	9	3652	500	0	0	1	1	0
31	9	3652	500	0	0	1	1	0
32	9	3652	500	0	0	1	1	0
33	9	3652	500	0	0	1	1	0
34	9	3652	500	0	0	1	1	0
35	9	3652	500	0	0	1	1	0
36	9	3652	500	0	0	1	1	0
37	9	3652	500	0	0	1	1	0
38	9	3652	500	0	0	1	1	0
39	9	3652	500	0	0	1	1	0
